Dosya,MSE_Noisy,MSE_Filtered,SNR_Noisy_dB,SNR_Filtered_dB,SNR_Improvement_dB
0.wav,0.08691477,0.08885549817920137,1.3747869,1.2788797401200283,-0.09590711367025495
1.wav,0.056776058,0.05773604999986272,0.98065066,0.9078320867816996,-0.07281857659415492
10.wav,0.26905087,0.07012391001956968,-6.1707616,-0.3310787769129795,5.839682808322616
100.wav,0.009961327,0.001304472020698841,0.55021906,9.379043316563543,8.828824257573064
101.wav,0.0002574191,0.0007700440825938132,18.349453,13.590704731820487,-4.758748240591622
102.wav,0.0017061337,0.0039430381902194125,13.348016,9.709835902436282,-3.638179882781003
103.wav,0.00068572076,0.0006995717749521351,13.795348,13.708498851749194,-0.08684931567023924
105.wav,0.0012902042,0.005188001187107804,13.361151,7.317735052163924,-6.043415689413225
106.wav,0.22471184,0.03185549752108553,-10.400511,-1.9160954814773117,8.484415306486556
107.wav,0.007087989,0.009895308168875907,7.478123,6.02906040755051,-1.4490627804682887
108.wav,0.0012616811,0.0017333970350717222,12.308323,10.928838629427013,-1.379484277067128
109.wav,0.005104693,0.025246030574553102,8.892239,1.950003310783083,-6.942235306160276
11.wav,0.27531984,0.0698976550525501,-6.4240475,-0.47029828348731795,5.953749186605456
110.wav,0.0049565877,0.012368076765108626,8.707464,4.736269818600281,-3.9711943995393675
111.wav,0.207767,0.04121749886938454,-7.8163075,-0.7913581429277092,7.0249494017805425
112.wav,0.0022629076,0.008137833158171705,12.86181,7.303390053213147,-5.558419677316638
113.wav,0.0028805863,0.006140270761677764,9.798996,6.511929968192652,-3.287066003487036
114.wav,0.0035405327,0.009893755649596428,8.710454,4.247528207814217,-4.462925779307365
116.wav,0.0011868436,0.011724154762638076,13.07304,3.126160378641203,-9.94687962990372
117.wav,0.21209602,0.04397658470034982,-7.7076216,-0.8745112792560129,6.8331102951458424
118.wav,0.0334929,0.007155458394833491,-5.0492964,1.6538563048836856,6.703152683973041
119.wav,0.026008425,0.01886277640664341,-1.5476975,-0.15261302878784713,1.3950845153100533
12.wav,0.22568539,0.028977141517020744,-10.907744,-1.9932652717895265,8.914479135864282
121.wav,0.2575937,0.040652871093697626,-9.560082,-1.5416425627195691,8.01843987288834
122.wav,0.041063476,0.02424929779643891,-1.9806547,0.30691089910461156,2.2875656155963107
123.wav,0.04764241,0.0124634522745467,-5.2590847,0.5644688455590819,5.823553547097168
124.wav,0.018883863,0.01973930355912765,0.2905151,0.09810554531611923,-0.19240954967937943
125.wav,0.043505535,0.0146510423815626,-3.0421014,1.684658657761806,4.726760040971034
127.wav,0.0009585013,0.0007406535447638581,15.4992485,16.619025194099546,1.119776689460874
128.wav,0.00080284476,0.0010224934667567723,17.163946,16.113657682331866,-1.0502884694015329
129.wav,0.0027306913,0.00173505388017059,10.004006,11.973602880745098,1.9695964949418752
13.wav,0.17473137,0.023525447999714223,-9.261953,-0.5536239665449378,8.708329387336898
130.wav,0.0022305627,0.0017579941219342786,12.946735,13.980706398239064,1.0339710161589863
131.wav,0.0058475113,0.00432294839994293,9.734098,11.046008434942857,1.3119100004946151
132.wav,0.18360764,0.06160162033954845,-3.668752,1.0742339869254824,4.742985941957831
133.wav,0.0057176244,0.00321582973282025,6.767518,9.266743657130576,2.4992256136125093
134.wav,0.008267589,0.004789335781700089,6.2705526,8.641588916519693,2.3710362813268215
136.wav,0.007815621,0.008423806190647505,7.4857945,7.160345916664913,-0.32544862755505743
137.wav,0.17376162,0.0445990636767536,-5.2390785,0.6672026521700103,5.906281173898526
138.wav,0.006043028,0.004984546230334992,8.581505,9.417794816752828,0.8362899949754841
139.wav,0.02680473,0.017797875619477578,1.9887441,3.7671770182166298,1.778432878545304
14.wav,0.17726499,0.02673608290661357,-8.4396305,-0.2243786477788727,8.21525186064398
140.wav,0.02464819,0.02004442748582052,3.2629075,4.160821236672881,0.8979137316374803
141.wav,0.02206676,0.019217336305783348,3.6789289,4.279382994250308,0.600454142169009
142.wav,0.028176913,0.015689086449040872,2.0931334,4.636090979247292,2.542957529692849
143.wav,0.0050841854,0.0033401077791317597,9.945366,11.769974447614954,1.8246085418532356
144.wav,0.026668537,0.021796125842972972,2.7447941,3.6209933592999057,0.8761992289745884
145.wav,0.02902043,0.016706984728398638,0.009676259,2.4077342680449556,2.3980580090339254
146.wav,0.02405681,0.017746540306785234,2.265149,3.5863927062268806,1.3212435897107673
147.wav,0.023892146,0.014368242636235066,1.4771773,3.68569217700348,2.2085149146972665
